#HyperedgeIdentifier	NumBVisit	BVisitNodes	TraversedHedges	RestrictiveHedges
http://identifiers.org/reactome/R-HSA-2993780	2	http://pathwaycommons.org/pc2/Complex_123a63ed96e1e7264328c82991c0b60a;http://pathwaycommons.org/pc2/Complex_f13ae9f2a0a604cc0974c4695abf5571		http://identifiers.org/reactome/R-HSA-4570496;http://identifiers.org/reactome/R-HSA-4570493;http://identifiers.org/reactome/R-HSA-3234081;http://identifiers.org/reactome/R-HSA-3108212;http://identifiers.org/reactome/R-HSA-4641345;http://identifiers.org/reactome/R-HSA-4551724;http://identifiers.org/reactome/R-HSA-3968414;http://identifiers.org/reactome/R-HSA-4615910;http://identifiers.org/reactome/R-HSA-4570528;http://identifiers.org/reactome/R-HSA-4568863;http://identifiers.org/reactome/R-HSA-8956365;http://identifiers.org/reactome/R-HSA-4570467;http://identifiers.org/reactome/R-HSA-4090281;http://identifiers.org/reactome/R-HSA-4655404;http://identifiers.org/reactome/R-HSA-4616015;http://identifiers.org/reactome/R-HSA-4615873;http://identifiers.org/reactome/R-HSA-4570554;http://identifiers.org/reactome/R-HSA-3000399;http://identifiers.org/reactome/R-HSA-2990833;http://identifiers.org/reactome/R-HSA-2993780;http://identifiers.org/reactome/R-HSA-2993784;http://identifiers.org/reactome/R-HSA-2993781;http://identifiers.org/reactome/R-HSA-4568848;http://identifiers.org/reactome/R-HSA-2997709;http://identifiers.org/reactome/R-HSA-4551604;http://identifiers.org/reactome/R-HSA-4615905;http://identifiers.org/reactome/R-HSA-4615872;http://identifiers.org/reactome/R-HSA-4568846;http://identifiers.org/reactome/R-HSA-4551661;http://identifiers.org/reactome/R-HSA-3247493;http://identifiers.org/reactome/R-HSA-3000383;http://identifiers.org/reactome/R-HSA-5228508;http://identifiers.org/reactome/R-HSA-3234094;http://identifiers.org/reactome/R-HSA-4551655;http://identifiers.org/reactome/R-HSA-3900047;http://identifiers.org/reactome/R-HSA-5228525;http://identifiers.org/reactome/R-HSA-4551727;http://identifiers.org/reactome/R-HSA-4615933;http://identifiers.org/reactome/R-HSA-3232162;http://identifiers.org/reactome/R-HSA-4551648;http://identifiers.org/reactome/R-HSA-4615889;http://identifiers.org/reactome/R-HSA-4641362;http://identifiers.org/reactome/R-HSA-3234084;http://identifiers.org/reactome/R-HSA-2993769;http://identifiers.org/reactome/R-HSA-5682607;http://identifiers.org/reactome/R-HSA-2993790;http://identifiers.org/reactome/R-HSA-2997723
http://identifiers.org/reactome/R-HSA-3788705	1	http://pathwaycommons.org/pc2/Complex_0393eaa7ec589837151641a33c380422		
http://identifiers.org/reactome/R-HSA-174079	1	http://pathwaycommons.org/pc2/Complex_0393eaa7ec589837151641a33c380422		
http://identifiers.org/reactome/R-HSA-5663002	1	http://pathwaycommons.org/pc2/Complex_350c84837c22ab1b452d9338f7ab7664		
http://identifiers.org/reactome/R-HSA-5662606	2	http://pathwaycommons.org/pc2/Complex_53a838fd3819257b0604b034497ed70e;http://pathwaycommons.org/pc2/Complex_eae6441ba2ba693ec5fe1ee5db9068cd	http://identifiers.org/reactome/R-HSA-5662613	
http://identifiers.org/reactome/R-HSA-2995389	1	http://pathwaycommons.org/pc2/Complex_66953dc4243da93569fd21e2c77ad346		
http://identifiers.org/reactome/R-HSA-2038398	1	http://pathwaycommons.org/pc2/Complex_e47c78c1db2a7b809e1620996214cbe6		
http://identifiers.org/reactome/R-HSA-4088264	1	http://pathwaycommons.org/pc2/Complex_34340e52eee2766fe5b204f912258879		
http://identifiers.org/reactome/R-HSA-450173	1	http://pathwaycommons.org/pc2/Complex_b15282868caa22da31d3ca5ec9db7fd1		http://identifiers.org/reactome/R-HSA-8948015
http://identifiers.org/reactome/R-HSA-68954	1	http://pathwaycommons.org/pc2/Complex_2ddc76f87a27e21508763bb34655d6eb		
