#Name	NumConnected
UCK1	0
UCK2	0
TP53I3	8514
CUX1	8514
BRF2	8514
BRF1	8514
DNAJC8	8514
CSNK1A1	8514
MB	0
GLYATL2	8514
DNAJC5	8514
DNAJC6	8514
DNAJC7	8515
DNAJC2	8515
DNAJC3	8514
GOSR2	8514
SLC18A2	8514
SLC18A1	0
GOSR1	8514
RALBP1	8515
NRN1	0
RAP1B	8514
RAP1A	8514
MAP3K7	8514
GPAT4	8514
ZNF830	8514
ZNF839	8514
MAP3K5	8514
PHAX	8514
OR51V1	8514
ACAT1	8514
ACAT2	8514
IKBKB	8514
RNF152	8514
CD200R1	2
LIMD1	8514
IVD	8515
CTF1	8514
ZNF706	8514
LDLR	8514
OR8S1	8514
IL2RA	8514
IL2RB	8514
RAB33A	8514
TPCN1	8515
TAS2R8	8514
IL2RG	8514
SLC17A5	0
SLC17A6	0
TAS2R5	8514
SLC17A1	8514
SLC17A3	8514
SETDB2	8515
CDK5RAP2	8514
MYF5	8514
ITCH	8514
CHMP4A	8514
CHMP4B	8514
CHMP4C	8514
BAX	8514
INTS9	8514
BAD	8514
CTSK	8514
BHMT2	8514
ELOA3B	8514
ELOA3D	8514
SLC37A2	4
OR52L1	8514
CDK19	8514
MYOD1	8514
PMPCA	8516
CDK12	8514
CDK13	8514
ST5	8515
NEO1	8514
ATP6V1B1	8514
ATP6V1B2	8514
CTSD	8514
ZNF304	8514
ZNF302	8514
ZNF300	8514
KCNAB3	8514
STS	0
MMP25	0
MMP24	0
CTSG	8515
P2RY6	8514
MMP20	8514
P2RY4	8514
TFG	8514
HVCN1	8517
RND1	8514
NCL	8515
CTNNBIP1	8514
PPP3CA	8514
PPP3CB	8514
PPP3CC	8514
LIF	8514
KIAA1549	8514
LRRC41	8514
HDAC10	8514
LRRC49	5
B3GNT4	8514
B3GNT5	8514
B3GNT6	8514
B3GNT7	8514
B3GNT2	8514
B3GNT3	8514
TSFM	8514
RPL18	8514
B3GNT8	8514
ADRA2A	8514
ADRA2B	8514
ADRA2C	8514
SETD6	8515
PCYT1A	8514
DAAM1	8514
HLA-DRB1	8514
HLA-DRB4	8514
HLA-DRB5	8514
PCYT1B	8514
GUK1	8514
YIF1A	0
CDCA8	8514
DZIP3	8514
SYT8	8514
SYT9	8514
LRRC4B	8514
FN1	8514
RINL	8515
SYT1	8514
SYT2	8514
OR6T1	8514
SYT5	8514
SYT7	8514
SYK	8514
RHO	8514
ATP5O	8514
CAVIN1	8514
KISS1R	8514
IGKV1-12	8514
ATP5L	8514
IGKV1-16	8514
IGKV1-17	8514
NCSTN	8520
MARCO	2
SAP30	8514
GNAI2	8514
CCZ1B	8518
ANGPT2	8514
ANGPT1	8514
ANGPT4	8514
PER1	8514
OXT	8514
OR5T1	8514
OR5T3	8514
OR5T2	8514
MARC1	8519
MARC2	8519
ICMT	8514
EME1	8514
FCF1	8514
ATP6V0A4	8514
ATP6V0A1	8514
ATP6V0A2	8514
MRPS34	8514
GUCA1A	8515
UGT2B15	0
GUCA1C	8515
GUCA1B	8515
KRT75	54
KRT74	54
KRT77	54
KRT76	54
KRT71	54
KRT73	54
KRT72	54
MRPS31	8514
ATM	8514
KRT79	54
KRT78	54
SMPD4	8515
ATR	8514
HAAO	2
ADAM30	8514
SMPD2	8514
BRIP1	8514
PDE11A	8514
ITGBL1	8514
HFE2	8514
DUOX1	8515
TTC26	8514
DOT1L	8515
PATL1	8514
IGHA1	8514
CARS	8514
PODXL2	0
U2SURP	8514
IL6R	8514
ENO1	8514
ENO2	8514
ENO3	8514
