#Entity	NumDownstream
http://pathwaycommons.org/pc2/Complex_4f455b8e571cf05f6dd581920d581cfe	1
http://pathwaycommons.org/pc2/Protein_44d8a37daa7ebf43b94340a5d27376cf	7
http://pathwaycommons.org/pc2/SmallMolecule_0be7f0ca25a9265ea6487955524e3574	23189
http://pathwaycommons.org/pc2/Rna_f15f8136b6a90002496e7345e27fa5b7	5201
http://pathwaycommons.org/pc2/Complex_494cb94f7ff61cb6a4de3fc69242b90b	5
http://pathwaycommons.org/pc2/Protein_ace4a75776f63af90cf27c269724ee25	4
http://pathwaycommons.org/pc2/Protein_c02c3fb93e7db2de84ff5a7def3a571c	23246
http://pathwaycommons.org/pc2/Protein_c4e275e95860b1d22ddae84f33470753	6
http://pathwaycommons.org/pc2/Protein_1bc7d051efc1162f2ca2d0e0e4d73810	1748
http://pathwaycommons.org/pc2/Protein_98c6c9215d5958093829bcd7e7753b58	23206
http://pathwaycommons.org/pc2/Protein_8426af8b3f0eb8e280694e0c4618b9b1	10
http://pathwaycommons.org/pc2/Complex_fca73eb59e043c6ff27b516c1a5d4dee	19315
http://pathwaycommons.org/pc2/Protein_64d29bf60500cde7ef6b56b64a7cd485	213
http://pathwaycommons.org/pc2/Protein_2f4bc66e3f4ed57bcdf37f94de0dcaf8	9
http://pathwaycommons.org/pc2/Protein_dda569d3c304a3dcaf48c7fc2da1e775	21473
http://pathwaycommons.org/pc2/Protein_00356d81aa7111b518e783c7cdd7ac10	15089
http://pathwaycommons.org/pc2/Complex_9a1340a7578eb249ce032202a1e0cddd	23221
http://pathwaycommons.org/pc2/Dna_d14deff20da369ef0bcbfc56ae4df708	9
http://pathwaycommons.org/pc2/Protein_6688ab6f2269894a28b24fd9337a0aa5	22745
http://pathwaycommons.org/pc2/Protein_1987d4a6a690059463c770e7fafe98bc	4
http://pathwaycommons.org/pc2/Complex_f2ac8bb1f24a298989695ce3332ac6d9	1
http://pathwaycommons.org/pc2/SmallMolecule_0a27accd2c0721d06dbb1422b6c86619	22628
http://pathwaycommons.org/pc2/Protein_4459c75a49b07e53038ca31b528eb00a	23202
http://pathwaycommons.org/pc2/Protein_4ea3191cdb917237c435749b0f2bb64f	22703
http://pathwaycommons.org/pc2/Protein_842bbb6bd7de8e89c7399106e7c7f8c5	23207
http://pathwaycommons.org/pc2/SmallMolecule_f7de2725f532c1d25c2d049ce3593673	21482
http://pathwaycommons.org/pc2/Complex_434b0b07c1103d2199f9c8bd7c730722	22330
http://pathwaycommons.org/pc2/Protein_8670f84bc548f3831f7a3e4845f48377	23226
http://pathwaycommons.org/pc2/Complex_28bc227d803620cb6d99f6776bdc95b3	28
http://pathwaycommons.org/pc2/Protein_a9955e8a7515ce0f8dc6f8555f42b109	2
http://pathwaycommons.org/pc2/Protein_1b8ae3ba180be2644b996062988070b6	22273
http://pathwaycommons.org/pc2/Complex_098f18e8a7eec38bc27cc4244a784a53	1
http://pathwaycommons.org/pc2/Complex_8041e9ad8efe841778399d5aef01ea6a	23206
http://pathwaycommons.org/pc2/Protein_2f06293fe70fbc510cdb351bd1d19b12	19923
http://pathwaycommons.org/pc2/Complex_bc58288fe76b522f507772e6612f3d88	23226
http://pathwaycommons.org/pc2/Complex_1ac57c1a2263ccb23f354fa8e1f9d333	22320
http://pathwaycommons.org/pc2/Complex_588b750a83b913cfd20cc44c639f96ef	23450
http://pathwaycommons.org/pc2/Protein_46c4d1117d1824c04578a5a605e750ee	6
http://pathwaycommons.org/pc2/Protein_3f2d233bc34a3bf236d9cdc4590d9655	4
http://pathwaycommons.org/pc2/Dna_9bc89ebd05e7a978c089295bba4a1d4f	19979
http://pathwaycommons.org/pc2/Complex_15e6d0af9afb46b7e87c89523f49f24e	21287
http://pathwaycommons.org/pc2/Protein_c8f60949b16773095da915d04a29638a	23236
http://pathwaycommons.org/pc2/SmallMolecule_93b0919f408712c33a0afa926331b28a	22010
http://pathwaycommons.org/pc2/Protein_902c0f23393ab618401cb820faff0ea8	2
http://pathwaycommons.org/pc2/SmallMolecule_0f67459a9311ef25ced590838396dbcf	2
http://pathwaycommons.org/pc2/Protein_abf940b7e32090b18beb1ce6f4f8b552	18500
http://pathwaycommons.org/pc2/Complex_d879c17fc2c6f5b4fd6525d6e13a41b3	22299
http://pathwaycommons.org/pc2/Complex_e7898ea6bcaa82b8ac4afa00d975cf8b	23207
http://pathwaycommons.org/pc2/Complex_8acece1a951d32128d447f1dedb507fa	21665
http://pathwaycommons.org/pc2/Complex_dc1d1a0789463f498876df4e88a40214	4
http://pathwaycommons.org/pc2/Complex_12be5cda1d313d63d8391f698a6a69e9	23203
http://pathwaycommons.org/pc2/Protein_8a0ea2da7d9bdf2dcc503d225cdf6629	23247
http://pathwaycommons.org/pc2/Complex_8dd26d63157251198dd97a8c46f4a697	1
http://pathwaycommons.org/pc2/Protein_c3b114eb8559ecbbb9dd7d14cf467643	13
http://pathwaycommons.org/pc2/Complex_476d1c7cc8e170ed1610ae94107155c4	1334
http://pathwaycommons.org/pc2/Protein_3a0288f1b08ea44b80fc46468c04fce3	18590
http://pathwaycommons.org/pc2/Protein_1a421494c7c8ec4af53a1734f0cfff19	19536
http://pathwaycommons.org/pc2/Complex_a23cf2a7533de4e5f38483a8e21af55d	23510
http://pathwaycommons.org/pc2/SmallMolecule_ae7b41c72be303be3303d9c6891b23ec	15836
http://pathwaycommons.org/pc2/Complex_9b9b93e406afa4d1851dcb3f042a32c5	22322
http://pathwaycommons.org/pc2/Protein_5fa0e89294d7f4d9cc2351224c2a5e43	374
