#Tail	Head	PosReg	NegReg	ID
http://pathwaycommons.org/pc2/Complex_00a67133c8f6f0f99e028670f1afba2b;http://pathwaycommons.org/pc2/PhysicalEntity_2c0b955e9cb17b2798a9b22311b859d4;http://pathwaycommons.org/pc2/Protein_98eea6f02dc6b25f51a416bd6ef10a58	http://pathwaycommons.org/pc2/Complex_0a922595db38707e5538c8677fbaeaa8;http://pathwaycommons.org/pc2/Complex_0d0b41f1b98c35b53b816673d72cd4d1;http://pathwaycommons.org/pc2/Complex_1d6ae98eb9f5e0a7f1a30f836bee92a2;http://pathwaycommons.org/pc2/Complex_c4955b1550ff01649df35a5af5e98483;http://pathwaycommons.org/pc2/Protein_2a9fd7ff05138bf3bc6344bebbb541fc;http://pathwaycommons.org/pc2/Protein_3714fbb2e6f66615c06ae5143b3b5f98;http://pathwaycommons.org/pc2/Protein_4fabd572612bd217a656b28a3861747b;http://pathwaycommons.org/pc2/Protein_98eea6f02dc6b25f51a416bd6ef10a58;http://pathwaycommons.org/pc2/Protein_c6ae1b371b18a339de8757cd74838b44;http://pathwaycommons.org/pc2/Protein_d2c863c41aad8617738852a0ebcc6e3c;http://pathwaycommons.org/pc2/SmallMolecule_ef1f6d733a8d537c61a9df35f90c1e99	http://pathwaycommons.org/pc2/Protein_98eea6f02dc6b25f51a416bd6ef10a58	None	http://identifiers.org/reactome/R-HSA-72619
http://pathwaycommons.org/pc2/Complex_00a8274d9bd3ddbf3d072e6efc999ea2;http://pathwaycommons.org/pc2/Complex_ea9a3834398237b1a9194a7531a401f8	http://pathwaycommons.org/pc2/Complex_3e5e775c3a52cc9a33babd0ba17ae4d0	None	None	http://identifiers.org/reactome/R-HSA-5652005
http://pathwaycommons.org/pc2/Complex_00af2b9824851e4a71c634a5acaf7de2;http://pathwaycommons.org/pc2/Protein_9a5af8efb2a35212c7b998a2ccf707f9	http://pathwaycommons.org/pc2/Complex_49bbf2434854abb197e1011cf682f6c2	None	None	http://identifiers.org/reactome/R-HSA-2404195
http://pathwaycommons.org/pc2/Complex_00af2b9824851e4a71c634a5acaf7de2;http://pathwaycommons.org/pc2/Protein_a48ebca10cef29caddcbf276368527f2	http://pathwaycommons.org/pc2/Complex_4f5fc54d03f0eac7c5be9f5f868def2f	None	None	http://identifiers.org/reactome/R-HSA-2428922
http://pathwaycommons.org/pc2/Complex_00af2b9824851e4a71c634a5acaf7de2;http://pathwaycommons.org/pc2/Protein_c09368bdacd5bd70ef004ceb6ff141d5	http://pathwaycommons.org/pc2/Complex_e6339298ba3c194ac6d7600b4c2f9ec5	None	None	http://identifiers.org/reactome/R-HSA-2428930
http://pathwaycommons.org/pc2/Complex_00b5f49165c1298ee97c5e2a0d393bd9;http://pathwaycommons.org/pc2/Complex_b81ffd36240e113288a0fbca53a5cbb9;http://pathwaycommons.org/pc2/Complex_d21e67fdd692517550119abd804d2e32	http://pathwaycommons.org/pc2/Complex_4217f5c4b6b8bbbe7f7d7e6624c82436	None	None	http://identifiers.org/reactome/R-HSA-449115
http://pathwaycommons.org/pc2/Complex_00b8eb30e592e29f89be6cb310722d3a;http://pathwaycommons.org/pc2/Complex_084d960caceb731e467e217a9bdfe5b2	http://pathwaycommons.org/pc2/Complex_c9c7cb801e6130c9232673ac297302f8	None	None	http://identifiers.org/reactome/R-HSA-83805
http://pathwaycommons.org/pc2/Complex_00b8eb30e592e29f89be6cb310722d3a;http://pathwaycommons.org/pc2/Complex_08b630a0fb8e3fde0c372c303f1c7fec	http://pathwaycommons.org/pc2/Complex_c03bd9c24ef7dda0f0be566321cec9f8	None	None	http://identifiers.org/reactome/R-HSA-83803
http://pathwaycommons.org/pc2/Complex_00b8eb30e592e29f89be6cb310722d3a;http://pathwaycommons.org/pc2/Complex_2a4b9605337647482cb22fbef04a9013	http://pathwaycommons.org/pc2/Complex_058927091f2534cd666744c0fd44f7b4	None	None	http://identifiers.org/reactome/R-HSA-76056
http://pathwaycommons.org/pc2/Complex_00bf17dc6890470ed72dd8c09f7f8057;http://pathwaycommons.org/pc2/PhysicalEntity_c213a6f235a06909cb3dfc9b0d0cca50	http://pathwaycommons.org/pc2/Complex_8eb3db8f1f33c02b4c88bd0d273aaac9	http://pathwaycommons.org/pc2/Complex_00bf17dc6890470ed72dd8c09f7f8057	None	http://identifiers.org/reactome/R-HSA-5357757
